nom_produit,ancien_prix,nouveau_prix
ECOUTEUR NEW BLUE SPECTRUM  / HF BS-I7 / OR-I7 /,6000,
ECOUTEUR NEW BLUE SPECTRUM  / HF BS-I7BT /,1500,
ECOUTEUR NEW BLUE SPECTRUM BOITE/ HF D-46 STEREO SOUND WITH PACKING,600,
APPLE ECOUTEUR IPHONE 6 COPY/ WHITE WITH BOX,600,
ECOUTEUR IPHONE 7/8/X/XS/XR POP-UP WINDOW,1200,
ECOUTEUR NEW CORDE 5G HF-MP3 WHITE/BLACK/,300,
ECOUTEUR NEW PRO I5 / BECTEL,500,
ECOUTEUR NEW BLUE  / HF R9 / BLUE SPECTRUM /,600,
ECOUTEUR SAMSUNG ORIGINAL S10,5000,
SAMSUNG ECOUTEUR DUOS BOITE BLANCHE S5830 / YJ ORIGINAL,400,
SAMSUNG ECOUTEUR DUOS NOIR S5830 / YJ COPY,250,
ECOUTEUR SAMSUNG S7 ORIGINAL / RYBH8 / BOITE NOIRE,1500,
ECOUTEUR SAMSUNG  AKG/S10,700,
ECOUTEUR SAMSUNG  W20 COLOR TETE GOLD,600,
HM103,6000,
BLUETOOTH HEADSET i001/i002,2500,
IBONWE ECOUTEUR MODEL I6,700,
ECOUTEUR IPHONE 7 AA/ BOITE BLANCHE FLECHE ORANGE,2000,
ECOUTEUR IPHONE 5G MIX/ NOIR / I8X /,500,
IG935,700,
HEADSET WIRELESS BLUETOOTH I MAX,3500,
CASQUE BLUETOOTH IPHONE COPY AIPORD / INPODS 12,4000,
FINEBLUE OREILLETTE BLUETOOTH I-X9,7500,
ECOUTEUR BLUETOOTH SAMSUNG J37/ INFINI J38,3500,
ECOUTEUR NEW CORDE KM-32B COULEUR MIX,350,
LETANG BLUETOOTH 4.1 WIRELESS LT-LY-06,1800,
CASQUE MP3 LS-03A / LS-03B,3500,
CASQUE MP3 LS-08A,3500,
CASQUE MP3 LS-09A,3000,
ECOUTEUR NEW CORDE LX-033 COULEUR MIX / PACKET JAUNE,450,
ECOUTEUR NEW CORDE LX-10/ LX-11 BLANC,600,
ECOUTEUR NEW CORDE LX-2 COULEUR NOIR ET BLANC,600,
ECOUTEUR NEW CORDE LX-20,500,
ECOUTEUR NEW CORDE LX-22,450,
ECOUTEUR NEW CORDE LX-25 COULEUR MIX,600,
ECOUTEUR NEW CORDE LX-26 COULEUR MIX /OKMAX / TAKARA,600,
ECOUTEUR NEW CORDE LX-72 COULEUR MIX,600,
ECOUTEUR NEW CORDE LX-82 COULEUR MIX,500,
FINEBLUE CASQUE MATE 7,5000,
FINEBLUE CASQUE MATE 7 MINI,5000,
FINEBLUE CASQUE MATE 9/ MATE 10,5000,
FINEBLUE CASQUE MATE 9S,5000,
MERCURY CASQUE BLUETOOTH MBT 230S,4000,
CASQUE MDRE XB650BT / XB550BT / XB450BT,4500,
BLUETOOTH MINI A8,4500,
SONY ECOUTEUR BLUETOOTH MS-707,2000,
NOKIA BATTERIE TELEPHONE 4C 500PCS,300,
NOKIA BATTERIE TELEPHONE 5CA NORMAL 200PCS,500,
NOKIA BATTERIE TELEPHONE 5CA 2EME 500PCS,300,
CASQUE BLUETOOTH WIRELESS NECKLACE HEADSET NT-S30,6500,
IBONWE ECOUTEUR MODEL P13,800,
IBONWE ECOUTEUR MODEL P15,1000,
IBONWE ECOUTEUR MODEL P16,1000,
